data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,vfw_forwarded_packets_per_sec,vfw_dropped_packets_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,vfw,4,896,35,9525.1425,35.0035,6.5027,27.5181,1707.2163,8638.7117,0.316,0.8663,49.0
train,vfw,2,640,90,15554.8387,89.9574,20.8674,25.1868,6292.1896,10855.0316,0.0156,0.1333,50.0
train,vfw,1,256,30,9014.3976,29.9929,34.9427,49.6052,1070.8461,8555.5063,0.2387,0.9326,48.0
train,vfw,2,384,100,16638.6071,99.9783,24.3476,37.0261,7607.0085,11340.6897,0.0142,0.0,50.0
train,vfw,4,896,85,14988.0058,85.0445,13.2627,27.8971,5949.7864,10467.9078,0.0838,0.2018,50.0
train,vfw,4,896,60,12258.0046,60.0301,10.0966,27.6251,3879.438,9705.3134,0.1999,0.5341,50.0
train,vfw,1,896,75,13930.2373,74.9585,31.7982,24.429,5376.6861,10499.1072,0.0314,0.3331,50.0
train,vfw,3,640,75,13925.0613,75.0118,10.5459,25.6896,5407.3217,10465.7094,0.0629,0.3333,50.0
train,vfw,2,768,30,9060.3921,29.9841,12.1031,24.8841,366.3,8290.9175,0.0473,0.933,50.0
train,vfw,1,768,75,13915.4175,74.9874,34.6901,24.4033,5029.6231,10283.2323,0.0242,0.3332,50.0
train,vfw,4,1024,60,12285.9749,60.039,8.013,27.869,4418.0312,10129.1584,0.2383,0.5344,49.0
train,vfw,1,256,40,10082.6424,39.9474,37.8193,49.6966,2420.5548,9375.5642,0.0726,0.7994,48.0
train,vfw,3,256,35,9557.5515,34.9617,9.8423,51.8886,1131.7399,6368.2755,0.0019,0.8667,50.0
train,vfw,1,384,80,14430.8594,79.9449,45.5791,36.8067,5966.0055,10901.3929,0.0221,0.2666,50.0
train,vfw,4,256,75,13889.0851,74.9877,7.2868,56.1731,5268.9547,10497.4546,0.0383,0.3331,50.0
train,vfw,3,256,45,10655.4134,44.9982,12.8453,52.0115,2506.6027,7507.3003,0.0289,0.7333,50.0
train,vfw,2,1024,100,16614.5207,99.9936,18.4795,26.0409,6684.3695,10318.1906,0.0141,0.0,50.0
train,vfw,3,768,80,14455.4591,79.9927,11.2407,25.8856,5735.4384,10719.6029,0.0363,0.2666,50.0
train,vfw,1,1024,80,14492.8538,79.9138,30.7728,24.2263,6354.135,10981.3526,0.0339,0.2665,50.0
train,vfw,1,512,55,11670.3331,55.0067,35.6036,24.3915,3684.0532,10188.1002,0.0049,0.6,50.0
train,vfw,4,384,55,11670.8434,54.9843,8.5326,41.4424,3129.1988,8342.1261,0.1889,0.5995,50.0
train,vfw,3,640,75,13919.0179,75.0083,10.8136,25.3663,5011.8338,10559.7345,0.0275,0.3333,50.0
train,vfw,3,512,40,10158.8991,40.002,7.7811,24.9209,2313.1487,9572.6203,0.0028,0.8,50.0
train,vfw,4,256,80,14437.2708,79.9914,9.5674,55.8009,5633.8741,10789.1484,0.0334,0.2665,50.0
train,vfw,3,256,55,11737.5235,54.999,11.9807,51.7607,3637.8174,8420.7678,0.0056,0.6,50.0
train,vfw,1,896,25,8442.5146,24.9773,20.7441,23.616,860.5513,8822.937,0.0657,0.9994,50.0
train,vfw,2,1024,90,15540.557,89.9883,17.4019,26.0876,6796.0136,10821.4827,0.0255,0.1332,50.0
train,vfw,1,512,95,16097.0082,95.0876,49.4956,25.427,7118.6845,11214.0835,0.0134,0.0667,50.0
train,vfw,2,384,65,12806.2,64.9577,20.0861,37.3746,3718.6988,9619.3911,0.0313,0.4665,50.0
train,vfw,4,896,99999,18969.4914,126.8964,12.7533,27.4378,9835.8207,10963.1597,0.0016,0.0,50.0
train,vfw,4,640,70,13316.4018,70.0322,9.1639,28.4099,4720.789,9698.5917,0.096,0.4002,50.0
train,vfw,2,384,75,13907.7016,74.965,20.8831,37.558,4803.8943,9975.9853,0.0248,0.3332,50.0
train,vfw,4,384,25,8358.3945,24.9923,5.1728,40.6246,798.3556,7557.0266,0.1167,0.9992,50.0
train,vfw,2,896,25,8525.4729,24.993,11.6991,25.2101,1074.9416,9773.0569,0.0098,0.9994,50.0
train,vfw,1,640,90,15555.6845,90.0328,44.1875,25.0966,7137.8867,11415.3778,0.0153,0.1333,50.0
train,vfw,4,256,75,13879.288,74.9742,9.0326,55.7643,5252.0166,10645.296,0.0367,0.3331,50.0
train,vfw,3,1024,99999,18952.7333,127.0061,14.6519,25.8396,10210.1333,11088.2444,0.0015,0.0,50.0
train,vfw,1,640,50,11149.67,49.994,32.8919,24.4517,3477.1366,10280.7921,0.0194,0.6665,50.0
train,vfw,2,512,40,10130.1581,39.969,14.2668,24.5693,2180.0358,9283.6163,0.0028,0.8,50.0
train,vfw,1,384,90,15524.144,89.9266,50.1466,37.0327,6500.6319,10900.0942,0.0182,0.1333,50.0
train,vfw,3,384,75,13900.0043,75.0019,12.562,38.1757,5467.322,10121.2138,0.0094,0.3333,50.0
train,vfw,1,256,70,13336.6462,69.8454,43.5306,49.0518,4103.3226,9509.6056,0.0435,0.3997,49.0
train,vfw,2,768,60,12310.1304,59.9938,15.5716,25.5959,3989.6455,10216.5546,0.0331,0.5331,50.0
train,vfw,1,1024,70,13392.3882,69.9218,28.4553,24.0934,5073.6491,10670.5124,0.0436,0.3997,50.0
train,vfw,4,768,30,8935.9865,29.9947,5.6283,27.3438,447.7736,7227.5806,0.2086,0.9327,50.0
train,vfw,2,1024,30,9074.1682,30.0011,12.5842,25.4664,956.1958,9291.2695,0.0483,0.9326,50.0
train,vfw,1,640,70,13352.1476,70.0168,38.5207,24.7519,5029.2609,10616.8347,0.0173,0.3999,50.0
train,vfw,2,256,100,16639.5776,100.0089,26.1239,49.369,7584.7192,11267.7792,0.0141,0.0,50.0
train,vfw,3,1024,70,13397.1803,69.9948,10.6426,26.3164,4176.2017,9110.2901,0.3817,0.3997,50.0
train,vfw,4,1024,100,16646.7083,100.1057,10.6127,28.3351,7878.7337,11415.3778,0.0141,0.0033,50.0
train,vfw,4,512,99999,18959.4769,126.8601,15.3751,27.9131,10216.9778,11415.3778,0.0016,0.0,50.0
train,vfw,1,896,35,9526.0148,34.9821,22.5506,23.6584,1355.8662,9589.9239,0.0511,0.8661,50.0
train,vfw,1,768,90,15560.796,90.0006,40.5716,24.4767,6887.5035,11257.6148,0.0182,0.1333,50.0
train,vfw,3,640,35,9608.696,35.0063,8.688,24.8797,1534.0637,9263.9701,0.097,0.8665,50.0
train,vfw,3,1024,55,11756.8694,55.0058,10.4072,25.7857,3067.2055,9101.3944,0.2824,0.5995,50.0
train,vfw,2,256,30,8943.5503,30.0087,13.7781,53.2481,1463.1551,9443.514,0.0867,0.9325,50.0
train,vfw,1,640,30,8942.5128,29.9748,25.5182,23.7731,534.7122,8487.4053,0.0214,0.9331,50.0
train,vfw,1,1024,80,14484.7659,79.8991,32.5396,23.646,5208.393,10136.8452,0.0339,0.2665,50.0
train,vfw,2,896,99999,18969.2867,126.9905,29.418,25.7468,8363.8729,11415.3778,0.0016,0.0,50.0
train,vfw,3,384,70,13363.6519,69.9829,13.2318,38.0357,4362.775,9243.7139,0.0343,0.4,50.0
validation,vfw,1,256,100,16585.4444,99.869,53.4667,51.585,5030.1556,7566.1778,0.014,0.0,50.0
train,vfw,1,640,50,11143.518,49.9895,32.9741,24.0582,2567.5652,9674.5315,0.0194,0.6665,50.0
train,vfw,1,640,95,16106.0103,95.0395,47.3318,25.1724,7286.6821,11415.3778,0.0148,0.0667,50.0
train,vfw,1,256,85,14963.0974,84.7926,48.1718,48.9084,5583.0395,10087.1246,0.0289,0.1998,50.0
train,vfw,3,256,100,16587.751,99.9868,18.2401,51.2286,6875.772,11132.1238,0.0141,0.0,50.0
train,vfw,1,512,60,12223.2929,59.9915,37.6242,24.5366,3469.6712,9468.2198,0.0422,0.5333,50.0
train,vfw,3,1024,75,13920.1744,75.0031,11.5434,26.1794,4000.3279,9889.0559,0.1777,0.3331,50.0
train,vfw,4,768,60,12243.2055,60.0397,7.3895,28.4299,4065.3111,9522.3965,0.1616,0.5337,50.0
train,vfw,3,640,85,15000.5004,84.9999,11.9158,25.6193,6011.4522,10581.0124,0.0896,0.2,50.0
train,vfw,3,512,99999,18954.8946,126.9604,20.4512,25.1282,8890.1401,9920.5089,0.0014,0.0,50.0
train,vfw,3,896,35,9604.7013,35.0079,7.8491,25.6226,1659.4673,8431.9592,0.4055,0.8661,50.0
train,vfw,2,768,35,9575.2115,34.9386,12.7214,24.9753,764.2561,8581.9061,0.0441,0.8663,50.0
train,vfw,2,640,75,13930.1249,74.9682,20.1899,25.1711,5828.2298,11172.9678,0.0177,0.3333,50.0
train,vfw,1,768,95,16109.3389,94.9931,41.933,24.7405,7078.7428,11328.4041,0.0162,0.0666,50.0
train,vfw,2,512,60,12302.2195,59.9642,17.6133,24.6259,3389.9955,9472.6196,0.0066,0.5333,50.0
train,vfw,1,384,95,16063.9409,94.899,51.3353,37.1832,6782.0902,10776.1523,0.0163,0.0666,50.0
train,vfw,3,640,90,15532.971,89.9984,12.8039,25.3241,5919.9592,10454.6484,0.0387,0.1333,50.0
train,vfw,2,1024,75,13924.3058,74.9899,15.9684,25.9499,5387.8094,10738.4411,0.0425,0.3331,50.0
train,vfw,3,768,60,12311.541,60.009,11.1105,25.8027,3691.3249,9796.2086,0.2046,0.5331,50.0
train,vfw,2,512,65,12842.6796,64.9495,20.2111,24.5627,4153.9123,10043.6393,0.0076,0.4667,50.0
train,vfw,2,1024,80,14453.4102,80.0029,16.9013,25.9057,5786.0931,11143.1388,0.0365,0.2665,50.0
train,vfw,2,1024,40,10145.4698,39.99,12.9355,25.4341,1891.4768,9417.21,0.0824,0.7994,50.0
train,vfw,1,384,90,15527.0753,89.9355,49.6066,36.8577,6676.0384,11024.5518,0.0182,0.1333,50.0
train,vfw,4,384,60,12211.3459,59.9887,7.8452,41.5949,3168.6553,8687.3466,0.0688,0.5329,50.0
train,vfw,2,768,99999,18976.8128,127.006,28.5573,25.7778,9163.1951,11415.3778,0.0015,0.0,50.0
train,vfw,2,640,35,9593.7729,34.9795,15.0932,24.6607,1584.5293,9284.8926,0.0234,0.8665,50.0
train,vfw,3,384,45,10675.7167,45.0116,10.006,38.1602,2425.647,8603.3208,0.0038,0.7333,50.0
train,vfw,4,768,90,15528.8798,90.05,11.5035,28.4174,6963.7003,11206.5847,0.051,0.1347,50.0
train,vfw,4,512,60,12190.1704,60.0077,9.7318,28.2448,3979.4165,8660.3584,0.0849,0.5329,50.0
train,vfw,2,896,100,16622.1254,99.9786,19.6415,25.8464,7220.1437,11262.1308,0.0141,0.0,50.0
train,vfw,3,384,85,14985.112,84.986,13.3582,38.3094,6029.9964,10385.5905,0.0113,0.2,50.0
train,vfw,4,768,40,10041.2139,40.0048,7.0169,27.5514,2249.2798,8566.516,0.2354,0.7997,50.0
train,vfw,2,1024,60,12309.4302,59.992,14.7887,25.8329,4175.2208,10507.6211,0.0596,0.5329,50.0
train,vfw,2,1024,90,15530.3442,89.97,17.2501,26.0182,6336.5489,10688.7978,0.0255,0.1332,50.0
train,vfw,3,640,25,8535.8426,24.9934,8.184,24.9003,870.6199,8673.4983,0.1954,0.9998,50.0
train,vfw,3,768,70,13384.2587,70.0026,12.7154,25.6415,4814.0816,10117.9059,0.1497,0.3998,50.0
train,vfw,3,640,100,16607.1662,99.9896,15.7182,25.5975,7298.4945,11062.9562,0.0141,0.0,50.0
train,vfw,3,512,75,13918.2729,75.009,12.7851,24.8794,5343.9811,10579.0867,0.0094,0.3333,50.0
train,vfw,2,256,30,8940.2177,29.9956,14.228,52.9202,1427.7728,9088.2165,0.0867,0.9325,50.0
train,vfw,3,896,95,16085.4903,95.0058,13.2393,25.9635,5660.0348,10620.9098,0.0459,0.0666,50.0
train,vfw,3,1024,85,15019.3637,85.0321,13.0257,26.1602,4811.2527,10767.8207,0.1764,0.1998,50.0
train,vfw,3,512,45,10688.4242,44.9904,11.4744,24.7282,2568.1132,9628.2776,0.0038,0.7333,50.0
train,vfw,2,1024,75,13923.5977,74.9958,16.1771,25.8288,5139.394,10465.8069,0.0425,0.3331,50.0
train,vfw,1,384,70,13334.5788,69.9485,43.9089,36.8537,5136.8716,10701.3395,0.026,0.3998,50.0
train,vfw,2,256,45,10587.138,45.0002,16.6869,52.0415,2255.0774,9642.5696,0.0712,0.7327,50.0
train,vfw,3,256,45,10653.2688,45.0016,11.487,51.6203,2166.5647,7533.7693,0.0038,0.7333,50.0
train,vfw,1,256,99999,18948.2125,126.9086,60.4546,49.8076,10216.9778,11415.3778,0.0015,0.0,50.0
train,vfw,1,512,90,15538.9572,90.0731,47.6876,24.8771,6069.0907,10364.1263,0.0124,0.1333,50.0
train,vfw,1,768,45,10614.847,44.9693,27.8497,23.8687,1999.2496,8961.969,0.036,0.733,50.0
train,vfw,1,1024,95,16133.9789,94.9087,33.862,24.3099,6725.2474,10785.4549,0.0192,0.0666,50.0
train,vfw,2,768,25,8524.9863,24.9839,12.7309,24.7073,359.0,8521.8331,0.1212,0.9996,50.0
train,vfw,4,896,25,8432.111,24.9993,5.9469,27.4131,858.0817,8500.2856,0.3625,0.9992,49.0
train,vfw,1,384,80,14432.5995,79.9345,46.983,37.1556,5792.8478,10732.5195,0.0221,0.2666,50.0
train,vfw,3,384,45,10672.7436,44.992,9.7599,38.3572,2876.3159,8989.0181,0.0038,0.7333,50.0
train,vfw,1,384,95,16073.0035,94.9228,52.2,37.2142,7424.5412,11415.3778,0.0162,0.0666,50.0
train,vfw,3,896,80,14466.8556,80.0086,11.55,25.9712,5235.5393,10328.8328,0.1267,0.2665,50.0
train,vfw,4,896,45,10613.5558,45.031,6.8919,27.3218,2851.2949,9416.6156,0.2696,0.7334,49.0
train,vfw,1,512,30,8923.2456,29.9759,25.3934,23.9759,906.4976,9024.4422,0.001,0.9333,50.0
train,vfw,2,1024,99999,18961.8444,126.9939,30.0333,25.7734,6698.3333,11197.2444,0.0016,0.0,50.0
train,vfw,2,896,99999,18975.2371,126.9822,27.9794,25.9292,9312.488,11415.3778,0.0016,0.0,50.0
train,vfw,2,768,60,12299.5648,59.9631,15.8691,25.2187,3446.0323,9609.6117,0.0331,0.5331,50.0
train,vfw,4,512,99999,18958.1556,126.8551,13.7556,27.6492,10205.6222,11415.3778,0.0016,0.0,50.0
train,vfw,2,384,95,16098.3404,94.9768,24.0149,37.2825,6964.4943,11091.404,0.0163,0.0666,50.0
train,vfw,3,768,55,11752.878,55.0069,10.4423,25.3521,3483.1341,10153.9911,0.0669,0.5998,50.0
train,vfw,3,768,85,15002.5712,85.0167,12.388,25.64,4825.8305,9999.4105,0.0849,0.1999,50.0
train,vfw,2,384,60,12270.6729,59.9773,17.9732,38.0619,4204.2105,10362.2595,0.0311,0.5331,50.0
train,vfw,3,768,40,10133.1714,39.9901,9.0729,25.1397,2014.9551,8985.9084,0.1357,0.7997,50.0
train,vfw,4,512,70,13298.1942,70.0031,11.1166,28.5387,4772.7334,9061.7815,0.125,0.3997,50.0
train,vfw,2,896,85,15004.8616,84.9832,15.0064,25.9625,5885.6731,10536.3942,0.0262,0.1999,50.0
train,vfw,3,1024,30,9056.8573,29.9904,7.876,25.2753,420.2053,6914.2962,0.6219,0.9326,50.0
train,vfw,1,384,85,14983.7005,84.9281,48.601,37.0546,6075.5019,10488.7682,0.0956,0.1999,50.0
train,vfw,4,768,60,12225.9169,60.0025,8.8936,27.9299,3657.142,9071.0537,0.1616,0.5337,50.0
train,vfw,3,384,30,9059.3076,30.0072,5.6049,38.5057,801.2631,7455.5295,0.001,0.9333,50.0
train,vfw,2,768,30,9068.3833,29.991,12.4413,24.7862,460.2385,8482.9216,0.0473,0.933,50.0
validation,vfw,2,256,100,16604.9556,100.0063,24.9444,54.0198,7313.7778,7304.9778,0.0138,0.0,50.0
train,vfw,3,768,65,12838.1028,64.9956,13.6067,25.2722,3720.3433,9749.1453,0.1313,0.4665,50.0
train,vfw,2,256,65,12789.1762,65.0009,19.5281,50.9386,3967.377,9720.2979,0.0504,0.4662,50.0
train,vfw,4,512,99999,18955.4695,126.8686,13.3523,27.3918,10216.9778,11415.3778,0.0016,0.0,50.0
train,vfw,1,640,60,12248.4839,60.0006,35.1075,24.3736,3927.339,10086.8515,0.0183,0.5332,50.0
train,vfw,2,384,45,10630.7307,44.9889,16.0469,38.2793,2055.4194,9408.1714,0.0524,0.733,50.0
train,vfw,3,896,100,16630.9062,100.0123,12.7422,26.3785,6804.8459,11307.196,0.014,0.0,50.0
train,vfw,1,640,35,9493.227,34.9671,26.8368,23.9615,1703.1922,9118.2428,0.0209,0.8665,50.0
train,vfw,3,896,30,9054.7636,29.9822,8.6881,24.8553,670.975,7583.5595,0.4162,0.9328,50.0
train,vfw,3,384,55,11749.5864,54.9987,11.6936,38.3789,3677.3894,9269.8753,0.0056,0.6,50.0
train,vfw,3,256,30,9026.7153,29.9995,9.567,51.8597,983.3782,6484.5209,0.0010,0.9333,50.0
train,vfw,4,768,60,12229.9808,60.022,8.6515,27.8656,3673.8947,9227.0419,0.113,0.5337,50.0
train,vfw,1,256,45,10625.6459,44.9387,38.5251,49.3085,2071.3046,9235.6953,0.0678,0.7327,49.0
train,vfw,1,1024,90,15588.2778,89.916,32.9146,24.4589,6741.2298,11143.7688,0.0241,0.1332,50.0
train,vfw,1,640,95,16103.0528,95.0335,46.1179,24.9149,6638.6035,10739.7346,0.0148,0.0667,50.0
train,vfw,1,256,30,9003.2873,29.9999,35.2208,49.7067,987.4953,9211.4042,0.0824,0.9326,48.0
train,vfw,1,256,50,11165.3682,49.9135,40.4076,49.0873,2661.2488,9345.1076,0.0629,0.6661,49.0
train,vfw,1,512,99999,18998.9556,126.9963,56.6477,23.1291,9665.101,10672.7854,0.0326,0.0,50.0
train,vfw,1,384,90,15523.3725,89.924,49.5123,36.9327,6441.1189,10785.3479,0.0182,0.1333,50.0
train,vfw,4,512,80,14398.3972,79.9973,10.4537,28.5914,6097.1929,10150.3539,0.0495,0.2665,50.0
train,vfw,4,768,60,12227.6952,60.0264,8.0241,27.8895,3984.2513,9761.9792,0.0487,0.5337,50.0
train,vfw,3,768,75,13919.9155,75.0161,9.8355,25.6382,4491.4152,10238.9306,0.0547,0.3332,50.0
train,vfw,1,896,65,12831.2026,64.9755,30.492,24.2597,3965.8336,10375.5411,0.0383,0.4664,50.0
train,vfw,3,256,70,13348.6164,69.9829,14.9981,51.2185,4237.7434,8842.5261,0.0085,0.4,50.0
train,vfw,1,896,65,12833.3245,64.9649,31.2311,24.2876,4176.4852,10016.9998,0.0383,0.4664,50.0
train,vfw,2,1024,55,11775.7495,54.9988,16.0902,26.24,3700.8552,10352.6725,0.0653,0.5995,50.0
train,vfw,2,640,100,16637.7885,99.9559,21.9467,25.2223,7528.2603,11383.442,0.0159,0.0,50.0
train,vfw,1,1024,99999,18952.0889,126.8347,58.9111,23.6024,10014.2889,11113.0889,0.0013,0.0,50.0
train,vfw,2,1024,80,14460.8588,79.9908,16.3333,25.8531,4729.5506,9631.6917,0.0369,0.2665,50.0
train,vfw,1,640,25,8393.2209,24.9597,23.19,23.7973,384.9,8176.9304,0.0219,0.9998,50.0
train,vfw,2,512,65,12844.3228,64.9612,17.791,24.598,4459.5562,10296.1894,0.0076,0.4667,50.0
train,vfw,2,640,70,13390.0302,69.9625,18.3278,25.1676,4923.6617,10517.4452,0.0185,0.3999,50.0
train,vfw,2,384,70,13364.4821,69.9755,20.4709,37.9966,4932.9876,10479.862,0.0269,0.3998,50.0
train,vfw,4,896,40,10073.9021,40.0041,7.4645,27.9189,2417.004,9017.3415,0.2928,0.7999,49.0
train,vfw,1,768,75,13914.873,74.9792,35.4094,24.3923,4725.6362,9849.3399,0.0242,0.3332,50.0
train,vfw,4,1024,65,12827.1529,65.0474,8.8986,27.7961,4078.9083,9959.7947,0.2102,0.4681,50.0
train,vfw,4,384,25,8362.0758,25.0052,4.8789,40.9308,834.0889,7598.3477,0.1167,0.9992,50.0
train,vfw,1,640,100,16653.4656,100.0348,47.5006,24.9954,6920.3788,10598.9143,0.0143,0.0,50.0
train,vfw,1,768,80,14464.6738,79.985,37.8731,24.4812,5707.5636,10698.6741,0.0222,0.2666,50.0
train,vfw,2,256,55,11690.3006,54.9953,18.034,51.7652,3703.6668,9922.3429,0.0607,0.5995,50.0
train,vfw,3,256,75,13891.5663,74.9871,14.3904,51.3798,4498.2151,8768.7325,0.0094,0.3333,50.0
train,vfw,2,512,35,9596.046,34.9891,12.6139,24.5338,1956.131,9653.6401,0.0019,0.8667,50.0
train,vfw,3,384,100,16600.7845,100.0074,14.143,39.0354,7933.4234,11415.3778,0.0142,0.0,50.0
train,vfw,1,384,95,16073.4774,94.9324,51.9515,37.0258,7396.3182,11369.7282,0.0162,0.0666,50.0
train,vfw,2,1024,55,11774.1054,54.9944,14.2911,25.8046,3787.8431,10027.6071,0.0653,0.5995,50.0
train,vfw,2,896,80,14469.0019,79.9863,18.2109,25.8851,5615.185,10766.5397,0.0303,0.2665,50.0
train,vfw,1,768,30,8966.9141,29.9694,23.7938,23.764,1372.5947,9312.5097,0.0418,0.933,50.0
train,vfw,4,896,80,14444.1585,80.0624,10.5782,28.01,5287.4811,10571.3242,0.107,0.2683,50.0
train,vfw,4,896,70,13327.3575,69.9856,8.8289,27.9505,3892.7503,9093.0034,0.1535,0.4012,50.0
train,vfw,2,640,100,16640.7997,99.9571,20.16,25.4709,7212.1096,11112.8442,0.0142,0.0,50.0
train,vfw,2,768,75,13928.9345,74.9661,17.5483,25.4186,5731.4367,11082.5383,0.026,0.3332,50.0
train,vfw,4,1024,90,15545.6113,90.0981,9.8777,27.6723,6975.0688,11323.1595,0.0702,0.1361,50.0
train,vfw,4,1024,99999,18962.869,126.8956,12.4297,26.967,6718.7319,7477.7251,0.0015,0.0,50.0
train,vfw,3,896,60,12302.6304,60.0035,9.1072,25.9841,3563.1031,9504.5241,0.2095,0.533,50.0
train,vfw,3,384,55,11760.0078,54.9991,11.5756,38.4003,3357.459,8678.8678,0.1147,0.6,50.0
train,vfw,3,896,40,10120.9112,39.9941,7.8201,25.1316,1246.9148,8438.2253,0.1609,0.7995,50.0
train,vfw,4,512,70,13291.9305,70.0053,9.6474,28.3018,4350.2137,8747.0473,0.0672,0.3997,50.0
train,vfw,1,1024,99999,18971.9627,126.8837,46.7306,24.5931,10216.9778,11415.3778,0.0014,0.0,50.0
train,vfw,1,896,40,10087.2332,39.9705,24.9352,23.7391,2094.8198,9436.6178,0.0554,0.7995,50.0
train,vfw,1,1024,45,10662.0183,44.97,23.9437,24.1234,2784.6182,9850.9437,0.0681,0.7327,50.0
train,vfw,1,640,25,8396.9175,24.956,24.0541,23.6046,438.5778,8426.7507,0.09,0.9998,50.0
train,vfw,2,768,95,16085.5608,94.9782,19.6209,25.2496,7273.9166,11270.0467,0.0165,0.0666,50.0
train,vfw,2,512,25,8493.8168,24.9754,12.5084,24.0054,378.2,8678.5207,0.0,1.0,50.0
train,vfw,1,256,85,14959.1003,84.7762,49.7341,48.3834,5258.9285,9746.2399,0.0289,0.1998,50.0
train,vfw,3,768,75,13919.4308,74.9963,10.8377,25.7579,5282.4671,10697.1739,0.0795,0.3332,50.0
train,vfw,3,384,30,9060.7388,30.0082,6.7977,38.4715,1145.9981,7848.4668,0.001,0.9333,50.0
train,vfw,1,384,80,14427.3717,79.947,45.5945,36.6851,5966.3352,10875.5019,0.0221,0.2666,50.0
train,vfw,3,896,70,13373.4712,70.0015,10.4282,25.5499,3920.5222,9666.0514,0.1842,0.3998,50.0
train,vfw,3,640,65,12838.5845,65.0095,10.6933,25.1278,3728.4056,10002.0134,0.0312,0.4666,50.0
train,vfw,1,896,100,16657.8145,99.9315,39.4992,24.5296,7357.212,11400.1794,0.0162,0.0,50.0
train,vfw,2,512,55,11743.6075,54.9266,16.171,24.6481,2784.8732,9143.4032,0.0057,0.6,50.0
train,vfw,1,768,100,16664.8492,99.9901,43.564,24.8447,7977.2107,11415.3778,0.0143,0.0,50.0
train,vfw,2,768,95,16091.2145,94.9618,20.2346,25.5771,7077.186,10956.0782,0.0165,0.0666,50.0
train,vfw,3,896,90,15546.0701,90.0101,11.8777,25.9194,4649.7038,9903.5513,0.0465,0.1333,50.0
train,vfw,2,256,85,14991.7036,84.9924,24.0643,50.1549,5907.3335,10338.2051,0.0807,0.1998,50.0
train,vfw,3,896,99999,18977.2623,126.9526,14.8721,26.2584,7551.2165,8389.8601,0.0014,0.0,50.0
