data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,MQTT_package_latency_p99_ms,MQTT_package_latency_average_ms,MQTT_package_loss_pct,MQTT_devices_connected,inline_analyzed_packets_per_sec,inline_blocked_packets_per_sec
train,inline,2,640,85,14990.6597,84.9575,54.9711,29.5756,0.0836,0.0486,0.1998,50.0,12720.4866,0.1461
train,inline,1,384,50,11355.7617,49.9782,72.204,47.5462,0.3839,0.1425,0.6661,49.0,9000.1853,4.0876
train,inline,3,256,55,11709.0982,54.958,38.0513,65.7136,0.0617,0.0617,0.5995,50.0,14849.3011,0.0
train,inline,3,1024,100,16635.4867,100.0136,39.7988,29.1971,0.0108,0.0108,0.0,50.0,16150.5556,9998.3036
train,inline,4,1024,30,8941.6075,30.0014,20.3174,30.7255,0.09,0.09,0.9317,50.0,8553.095,0.0
train,inline,4,896,100,16605.8917,99.9777,30.8454,29.1169,0.0176,0.0114,0.0,50.0,16299.5049,0.8157
train,inline,2,640,100,16628.0208,99.9703,60.0909,29.6062,0.0614,0.0122,0.0,50.0,13323.3608,0.0
train,inline,1,768,80,14504.9063,80.0026,78.9024,29.7246,0.9913,0.1297,0.2689,50.0,12389.0634,7.659
train,inline,1,384,30,9250.2307,30.0466,68.3996,46.823,0.2181,0.1675,0.9326,49.0,7654.6611,4.8066
train,inline,3,256,75,13887.8462,74.9865,41.0776,65.5707,0.0526,0.0399,0.3331,50.0,18170.1803,0.0
train,inline,3,384,45,10610.2057,44.9654,34.4869,51.436,0.0795,0.0715,0.7327,50.0,8232.152,6.2886
train,inline,4,896,50,11145.3522,50.0084,24.3415,31.2478,1.6766,1.2695,0.6647,50.0,10916.2394,0.0
train,inline,2,1024,55,11725.717,55.0077,46.4061,28.8384,0.3172,0.2886,0.5995,50.0,13181.2725,0.0
train,inline,4,640,40,10078.3742,40.0005,23.4731,33.6511,5.8469,4.4044,0.7956,50.0,10936.4326,0.0
train,inline,4,768,70,13341.5822,70.0076,27.0023,31.562,1.9743,1.487,0.3983,50.0,13971.5326,2.8906
train,inline,3,512,35,9489.6143,34.9856,29.5459,36.9849,0.0795,0.0795,0.866,50.0,7750.8655,0.5809
train,inline,2,768,99999,18946.3098,126.8692,60.1659,28.7377,0.0627,0.0032,0.0,50.0,19084.9479,5002.847
train,inline,4,896,100,16615.6951,100.0155,29.3656,29.9659,0.0106,0.0106,0.0,50.0,16263.4152,0.0
train,inline,2,512,60,12284.1847,59.9775,46.7676,31.6818,0.0923,0.061,0.5329,49.0,8750.3197,4.1617
train,inline,1,256,55,11861.1283,54.8763,77.9683,63.9648,0.3799,0.0953,0.5995,50.0,10969.983,0.7068
train,inline,3,768,30,9014.6404,30.0004,28.1527,32.5337,0.0876,0.0876,0.9326,50.0,7277.1884,4037.1185
train,inline,1,768,40,10222.2229,39.9895,69.9792,28.6245,0.3741,0.1484,0.8,49.0,10269.9789,0.0
train,inline,2,768,25,8468.2941,24.9906,35.3774,31.0586,0.297,0.288,0.9992,50.0,9047.6902,6.153
train,inline,3,384,45,10611.9727,45.0015,33.8684,51.499,0.0781,0.0715,0.7327,50.0,9926.8446,0.0
train,inline,2,768,45,10641.2663,45.0074,42.705,30.4113,0.2294,0.2141,0.7327,50.0,11672.9715,0.0
train,inline,4,1024,30,8940.9099,29.9903,20.3408,30.5177,0.0937,0.0904,0.9317,50.0,9611.1246,0.0
train,inline,2,256,80,14412.8654,79.8981,50.0085,66.3457,0.2738,0.2738,0.2665,50.0,9383.2464,0.0
train,inline,4,384,45,10592.5404,45.0005,24.6557,51.5325,3.5922,2.7085,0.7306,50.0,9427.9064,0.0
train,inline,4,768,75,13887.361,74.9976,26.684,31.4927,1.6423,1.2408,0.3319,50.0,13752.9511,0.0
train,inline,3,384,70,13339.1308,69.9584,37.6617,49.9401,0.052,0.0442,0.3997,50.0,14101.0428,2.5768
train,inline,4,768,100,16622.0973,100.0043,30.2132,30.6771,0.0293,0.0118,0.0,50.0,17312.7536,5.2467
train,inline,1,768,65,12898.87,65.026,75.6498,29.2914,0.7602,0.1367,0.4681,50.0,13179.0283,0.0
train,inline,3,384,50,11154.4075,49.9793,33.8035,51.0082,0.0652,0.0652,0.6661,50.0,10916.4928,0.0
test,inline,2,512,25,8482.4889,24.9941,35.4,32.3546,0.0,0.0,1.0,49.0,11314.1111,0.0
train,inline,1,512,35,9779.2226,35.0606,63.6086,29.8848,0.3144,0.2238,0.866,48.0,10056.1129,0.1847
train,inline,2,768,75,13906.7485,74.984,52.6738,29.5959,0.1413,0.1039,0.3331,50.0,13835.0752,0.0
train,inline,1,512,40,10308.2936,40.0654,65.0062,30.1702,0.351,0.212,0.7994,48.0,10615.6318,0.0275
train,inline,2,896,45,10641.6985,44.9834,42.6838,29.7785,0.3099,0.2826,0.7327,50.0,10453.0246,7.3337
train,inline,2,1024,55,11724.8107,55.0017,46.586,28.7489,0.3184,0.2886,0.5995,50.0,13545.6371,0.0
train,inline,1,1024,30,9050.9086,29.8956,74.6788,26.7262,0.1841,0.0716,0.933,50.0,10421.2279,0.6793
train,inline,3,1024,35,9626.5827,35.0068,31.0626,27.4285,0.0891,0.0862,0.866,50.0,11820.5424,8219.2863
train,inline,4,896,100,16611.177,99.9869,31.0857,29.5148,0.0241,0.0117,0.0,50.0,15719.6066,2.4774
train,inline,3,512,70,13331.3124,69.959,33.9707,33.8568,0.0424,0.0424,0.3997,50.0,11975.1077,0.0
train,inline,4,1024,70,13322.9441,70.0077,27.289,29.5155,0.0556,0.0454,0.3993,50.0,13563.1838,0.5508
train,inline,3,1024,35,9624.7183,35.0003,29.794,27.4652,0.0855,0.0855,0.866,50.0,9207.89,8215.4388
train,inline,3,384,99999,18960.2218,126.9095,44.6848,48.734,0.0749,0.0033,0.0,50.0,17664.4859,10002.978
train,inline,2,768,60,12274.8408,59.9971,45.9902,30.1211,0.1673,0.1582,0.5329,50.0,12116.6863,0.0
train,inline,2,384,55,11702.2999,54.9686,46.1009,48.6237,0.3346,0.3346,0.5995,50.0,9144.3189,0.0
train,inline,2,512,80,14453.2937,79.9829,52.8572,30.6661,0.0673,0.0361,0.2665,50.0,11545.4735,2.2412
train,inline,4,1024,45,10585.2265,45.002,22.7482,30.245,0.0762,0.0734,0.7321,50.0,10418.8671,0.0
train,inline,4,256,99999,19004.1111,126.8379,35.2078,68.3307,0.0355,0.0014,0.0,50.0,12007.4868,0.0
train,inline,4,640,25,8441.5831,25.0025,22.1402,34.1031,7.3042,5.5026,0.9945,50.0,10202.4683,0.0
train,inline,4,512,99999,18931.024,126.8573,34.6903,32.5252,0.0402,0.0026,0.0,50.0,18649.7118,0.0
train,inline,2,384,25,8417.1022,24.9591,39.3022,48.0737,0.0514,0.5491,0.9992,50.0,8313.2523,0.0
train,inline,4,512,70,13357.7621,69.9851,25.4765,33.6877,3.8823,2.9282,0.3973,50.0,13122.0464,0.0
train,inline,2,512,80,14456.6943,79.9952,52.6158,30.8207,0.0741,0.0366,0.2665,50.0,11536.9934,0.0
train,inline,1,896,50,11257.6552,49.9659,75.1147,28.0739,0.5906,0.1219,0.6678,50.0,10968.383,0.0
train,inline,4,1024,65,12776.6488,65.003,26.2479,29.7052,0.0631,0.0512,0.4659,50.0,13251.3274,0.4956
train,inline,3,256,85,14968.0994,84.9595,42.5829,65.1853,0.0317,0.0281,0.1998,50.0,19285.321,1.0686
train,inline,2,768,99999,18944.6272,126.8525,60.0265,28.6339,0.0592,0.0028,0.0,50.0,20367.9576,5008.6055
train,inline,1,768,60,12362.2805,60.01,74.448,28.99,0.6817,0.1388,0.5344,49.0,14511.1917,0.0
train,inline,1,256,40,10289.3874,39.967,74.8861,63.5318,0.2358,0.0972,0.7994,50.0,9655.8307,0.4022
train,inline,3,384,90,15521.9828,89.9643,39.3315,48.6315,0.0217,0.0217,0.1332,50.0,18362.155,0.0
train,inline,4,384,25,8398.0295,25.0061,21.8698,51.9757,4.8875,3.6891,0.9962,50.0,6895.324,0.0
train,inline,3,768,85,15000.1088,84.9764,37.9861,30.8471,0.0355,0.028,0.1998,50.0,15195.9526,4796.715
train,inline,2,768,35,9553.5625,35.0109,38.6971,30.5838,0.2623,0.2511,0.866,50.0,11295.993,0.0
train,inline,3,256,40,10088.2671,39.9976,36.3606,66.6422,0.0863,0.0791,0.7994,50.0,11139.3381,0.0
train,inline,2,256,70,13307.6846,69.8792,47.5518,65.6092,0.4041,0.4041,0.3997,50.0,8540.2616,0.0
train,inline,1,768,80,14501.5004,80.0271,78.1978,29.2583,0.9801,0.1289,0.2689,50.0,15895.0818,0.9793
train,inline,1,256,35,9762.4423,34.9805,73.6698,63.0681,0.1906,0.098,0.866,50.0,10381.7271,0.0
train,inline,1,384,55,11878.3365,54.9773,73.131,47.4987,0.4156,0.1357,0.5995,49.0,11206.205,0.0
train,inline,4,512,85,14996.3421,85.0039,27.2955,33.1672,1.9573,1.4699,0.1987,50.0,16671.8645,3.8847
train,inline,4,512,60,12270.4169,59.9998,25.7302,34.2063,5.1819,3.901,0.5298,50.0,12771.5585,0.7151
test,inline,1,512,100,16647.0889,100.0943,82.7,29.8506,1.5252,0.2039,0.01,50.0,10069.4889,0.0
train,inline,3,640,80,14439.2697,79.9589,36.556,31.6958,0.0327,0.0327,0.2665,50.0,13740.1917,2363.4247
train,inline,3,256,35,9543.7216,34.9878,35.4022,66.4497,0.0884,0.0844,0.866,50.0,12514.891,0.7677
train,inline,1,768,90,15570.3549,90.0262,81.1573,29.7303,1.1316,0.1241,0.1361,50.0,15073.7016,4.5181
train,inline,3,768,85,14994.2742,84.968,37.4612,30.3724,0.0276,0.0276,0.1998,50.0,14474.8362,4794.5277
train,inline,4,640,85,14989.9736,85.0089,27.8711,32.4179,1.4794,1.1098,0.1989,50.0,15279.9409,0.0
train,inline,2,1024,65,12810.6798,64.9952,51.425,28.4897,0.2603,0.2268,0.4663,50.0,13778.4003,2.4502
train,inline,3,384,50,11156.7528,49.9922,34.5845,50.8246,0.075,0.0661,0.6661,50.0,12127.9319,0.0
train,inline,2,512,65,12816.1593,64.9619,47.645,30.6502,0.072,0.0541,0.4663,50.0,10828.6464,0.0
train,inline,2,640,85,14996.8386,84.9805,54.4841,30.0808,0.0808,0.0483,0.1998,50.0,12992.8583,0.0
train,inline,1,384,100,16605.933,99.8146,83.4676,48.5658,0.7888,0.0794,0.0,50.0,14884.8888,1.4704
train,inline,1,256,35,9769.4933,34.9844,73.4089,63.6327,0.193,0.0982,0.866,50.0,7542.7169,2.5897
train,inline,1,256,65,12909.3718,64.8124,79.5486,64.2379,0.4741,0.094,0.4663,50.0,12392.6764,0.574
train,inline,2,896,99999,18952.8121,126.8817,58.3592,27.9595,0.0384,0.0024,0.0,50.0,17995.4454,7513.3026
train,inline,1,768,60,12362.6998,60.0124,74.0816,29.1063,0.6766,0.1387,0.5344,49.0,12656.9235,0.0
train,inline,2,1024,35,9545.3064,35.0068,38.2058,29.0173,0.4184,0.4111,0.866,50.0,12398.3278,0.0
train,inline,4,256,55,11654.4563,54.9965,26.3243,68.3396,0.0572,0.0489,0.5995,50.0,9736.0218,0.0
train,inline,2,512,75,13914.1355,74.9648,51.3038,31.123,0.0813,0.0429,0.3331,50.0,9110.4674,7.0048
train,inline,3,256,70,13342.9056,69.9735,38.8212,65.8103,0.0443,0.0443,0.3997,50.0,16397.2277,0.0
train,inline,1,1024,45,10678.4546,44.8944,76.9276,27.0996,0.5312,0.0928,0.7345,50.0,9197.9505,6.1229
train,inline,3,640,50,11164.003,49.9833,31.9742,33.7413,0.0669,0.0651,0.6661,50.0,11098.7439,2156.8278
train,inline,3,896,25,8509.4121,25.0005,29.1086,29.9172,0.097,0.0959,0.9992,50.0,8589.1097,5957.7165
train,inline,1,384,85,15036.0059,84.8696,80.0336,48.6781,0.6705,0.0985,0.1998,50.0,12152.7222,3.6517
train,inline,4,896,70,13333.7515,70.0083,25.7629,30.7383,1.0035,0.7657,0.3988,50.0,13607.6955,0.0
train,inline,3,768,100,16626.9213,99.9711,40.0772,29.9584,0.014,0.0113,0.0,50.0,16268.2878,4997.4479
train,inline,4,640,60,12263.9171,59.9854,25.2939,33.3696,3.9079,2.9403,0.5304,50.0,10123.3853,4.3145
train,inline,3,896,99999,18955.7384,126.8866,40.2751,30.5217,0.0159,0.0013,0.0,50.0,19350.0845,9990.7616
train,inline,1,512,70,13478.1462,70.0795,72.4927,31.5873,0.5572,0.1403,0.3997,49.0,12773.1678,0.0
train,inline,1,640,99999,18973.1103,126.9812,89.8187,29.4795,1.1826,0.0987,0.0,50.0,17108.5635,2641.7106
train,inline,1,512,70,13478.2287,70.0802,73.2166,31.3543,0.5687,0.1408,0.3997,49.0,13946.4556,1.3374
train,inline,4,512,90,15535.5885,89.9806,27.754,33.0656,1.3025,0.9833,0.1324,50.0,15285.292,1.1043
train,inline,4,768,30,8968.4424,29.9859,21.7594,32.5355,4.5738,3.4545,0.9294,50.0,8761.9402,0.7383
train,inline,3,768,65,12824.0658,64.9749,35.377,31.5147,0.0581,0.0502,0.4663,50.0,10187.2201,4526.5577
train,inline,4,384,80,14424.6031,79.9498,28.0631,50.0723,1.3086,0.9917,0.2657,50.0,14029.8018,0.5952
train,inline,1,896,80,14485.7279,80.0023,79.5369,28.007,1.1538,0.135,0.2701,50.0,17560.2776,1.3579
train,inline,4,640,70,13349.0109,69.9898,26.2601,32.6391,2.9307,2.2077,0.3978,50.0,14815.4678,0.0
train,inline,3,768,35,9560.4882,35.0071,30.1794,32.1555,0.0898,0.0833,0.866,50.0,9052.3206,4107.6997
train,inline,1,384,90,15560.4284,89.8765,81.1104,48.1378,0.7155,0.0922,0.1332,50.0,16751.0455,4.2711
train,inline,4,256,90,15518.2127,89.9589,31.7513,67.5437,0.0219,0.0193,0.1332,50.0,14932.0709,0.1448
train,inline,4,256,40,9986.3567,39.9607,23.6159,67.7316,0.0608,0.0608,0.7994,50.0,7797.6173,1.2479
train,inline,2,896,55,11730.7517,55.0068,46.4555,29.6825,0.2676,0.2335,0.5995,50.0,11830.5972,0.0
train,inline,2,896,75,13903.9148,74.9868,53.8794,28.9384,0.1753,0.1347,0.3331,50.0,14404.4785,0.4859
train,inline,1,1024,100,16637.1428,100.0138,83.4323,26.5801,1.7824,0.1688,0.0066,50.0,20720.0953,3.5926
train,inline,1,512,65,12951.4009,65.0854,71.4104,31.4685,0.5262,0.1525,0.4663,49.0,12252.672,0.0
train,inline,4,256,40,9995.5725,40.0036,24.3084,68.5577,0.0666,0.0612,0.7994,50.0,7504.1967,0.0
train,inline,1,256,30,9238.77,30.0197,73.352,63.0466,0.1427,0.0986,0.9326,50.0,8703.9394,1.6786
train,inline,4,1024,35,9493.3175,34.9974,21.5511,30.7383,0.0982,0.0854,0.8652,50.0,8128.0472,0.1313
train,inline,1,640,35,9732.864,35.0144,66.6093,29.1527,0.311,0.1876,0.8662,49.0,9051.2579,1.7986
train,inline,3,512,80,14434.6211,79.9383,36.8005,33.3917,0.0463,0.033,0.2665,50.0,10988.7112,7.3865
train,inline,4,256,100,16624.9351,99.9507,31.6513,67.4454,0.0105,0.0105,0.0,50.0,16992.9925,0.0
train,inline,2,1024,90,15537.3077,89.9792,60.442,27.9738,0.134,0.0737,0.1332,50.0,16526.8861,0.0
train,inline,1,1024,90,15555.3639,90.0039,82.1404,26.9857,1.557,0.1552,0.1389,50.0,18431.0744,0.0
train,inline,4,896,50,11147.4997,49.9904,24.1845,31.355,1.682,1.2698,0.6647,50.0,10355.7572,3.6054
train,inline,3,256,30,9001.3547,29.9918,34.7129,66.5283,0.0944,0.0902,0.9326,50.0,10295.2912,0.894
train,inline,3,512,40,10040.1234,39.9859,28.7009,36.6718,0.0737,0.0737,0.7994,50.0,7445.4932,0.0
train,inline,1,512,100,16644.3473,100.083,80.5429,32.3858,0.773,0.0691,0.0,50.0,16883.38,0.0
train,inline,4,512,100,16631.1917,99.9995,27.1615,33.1502,0.0104,0.0104,0.0,50.0,16791.8331,0.0
train,inline,4,896,100,16609.7642,99.9826,31.0458,29.4113,0.0229,0.0116,0.0,50.0,15709.434,2.4794
train,inline,4,512,75,13905.4682,74.9959,25.2855,33.8122,3.2308,2.4417,0.3311,50.0,13618.8872,0.0
train,inline,4,768,35,9520.4994,34.9893,22.6022,32.8222,4.2571,3.209,0.863,50.0,8191.9608,3.717
train,inline,3,512,50,11137.2628,49.9769,31.6565,35.7176,0.0655,0.0638,0.6661,50.0,11052.2463,0.0
train,inline,3,768,65,12824.6612,64.9742,35.0859,31.491,0.0587,0.0503,0.4663,50.0,10377.701,4525.6224
train,inline,2,1024,99999,18957.4755,126.9215,58.1502,27.0091,0.0256,0.0021,0.0,50.0,19096.1106,10019.2837
train,inline,3,384,90,15520.0202,89.9322,40.6477,48.6379,0.0316,0.0226,0.1332,50.0,15922.6483,5.0093
train,inline,1,256,100,16578.3551,99.5822,85.815,65.2932,0.8081,0.0897,0.0,50.0,13805.3227,3.613
train,inline,3,256,45,10626.9715,44.9814,37.3505,66.3305,0.0733,0.0729,0.7327,50.0,12379.2798,1.1719
train,inline,1,768,55,11829.2111,54.9965,73.1009,29.133,0.6035,0.1413,0.6008,49.0,10870.2405,1.3981
train,inline,1,768,85,15034.9012,85.031,79.7267,29.4125,1.0542,0.1264,0.2025,50.0,16069.533,1.8056
train,inline,1,384,60,12407.5563,59.9541,74.6374,47.551,0.4723,0.1302,0.5329,49.0,11530.8749,6.7107
train,inline,1,896,90,15559.9573,90.0046,80.518,28.1831,1.3311,0.139,0.1375,50.0,16941.1832,0.0
train,inline,1,768,90,15571.5623,90.0393,80.2847,29.3283,1.134,0.1241,0.1361,50.0,18799.7399,2.288
train,inline,1,768,95,16106.1861,95.0421,81.244,29.3901,1.2083,0.1217,0.0697,50.0,18412.2666,2.7633
train,inline,3,256,85,14967.5021,84.958,42.6097,65.1511,0.0312,0.0281,0.1998,50.0,19250.8676,1.2112
train,inline,2,640,30,9010.0796,29.9918,36.7026,31.0518,0.1839,0.1826,0.9326,49.0,11555.577,1.0131
train,inline,3,384,55,11701.9469,54.9856,35.4157,50.7869,0.0669,0.0606,0.5995,50.0,11986.1825,0.0
train,inline,1,512,65,12947.9846,65.0724,71.749,30.8551,0.5323,0.1527,0.4663,49.0,13614.2233,2.7265
train,inline,2,640,95,16085.7476,94.9835,58.2713,29.2584,0.0771,0.0247,0.0666,50.0,14738.347,4.531
train,inline,3,512,65,12785.4875,64.9606,34.0979,34.5059,0.0543,0.0483,0.4663,50.0,11636.5477,1.9219
train,inline,2,512,80,14454.8005,79.9828,52.4123,30.6454,0.07,0.0362,0.2665,50.0,12995.1729,0.9058
train,inline,3,640,60,12256.8786,59.981,33.0311,33.1813,0.054,0.054,0.5329,50.0,10954.9172,2224.4555
train,inline,3,896,25,8509.7319,25.0025,28.9973,29.6719,0.0989,0.096,0.9992,50.0,8747.1077,5960.7862
train,inline,4,512,75,13903.0129,74.9866,25.5462,33.6084,3.2327,2.4418,0.3311,50.0,13599.4983,0.0
train,inline,3,384,40,10064.1328,39.9902,33.1529,51.5894,0.0813,0.0768,0.7994,50.0,9342.1281,0.0
train,inline,1,640,65,12926.1271,65.0655,74.1149,30.4807,0.6498,0.1449,0.4672,49.0,12578.095,0.0
train,inline,1,640,75,13985.464,75.0481,75.9472,30.3026,0.7545,0.1302,0.3342,50.0,14632.4354,1.3195
train,inline,2,384,45,10608.0544,44.969,43.8695,48.5024,0.4061,0.4061,0.7327,50.0,8873.4365,0.0
train,inline,2,640,45,10644.2614,45.0025,42.3566,30.9281,0.1589,0.1461,0.7327,49.0,11987.2857,2.6158
train,inline,2,384,70,13337.3237,69.9354,49.036,48.3025,0.2267,0.2267,0.3997,50.0,9754.3286,0.0
train,inline,3,512,80,14429.8656,79.9599,36.6405,33.0866,0.0337,0.0322,0.2665,50.0,13850.5628,0.7131
train,inline,4,768,30,8969.3481,29.9908,21.909,32.6301,4.5743,3.4545,0.9294,50.0,8768.4806,0.928
train,inline,4,1024,90,15506.7147,89.9853,29.8807,28.4,0.0285,0.0227,0.1331,50.0,15182.7543,0.0
train,inline,3,1024,60,12325.6658,60.0331,35.1467,28.4218,0.0685,0.058,0.5329,50.0,11855.0072,8894.6593
train,inline,2,640,25,8469.3053,25.0089,35.457,31.5787,0.1943,0.1947,0.9992,49.0,12013.4686,0.2624
train,inline,3,1024,55,11775.7129,54.9814,33.8309,27.4599,0.063,0.063,0.5995,50.0,11447.1565,8767.9645
train,inline,4,256,70,13307.2814,69.9602,28.176,67.7067,0.037,0.0359,0.3997,50.0,12633.9965,0.0
train,inline,3,896,95,16089.8762,94.9943,40.5337,29.7724,0.0202,0.0168,0.0666,50.0,14972.382,7401.6938
train,inline,4,768,95,16071.8243,95.0059,30.1904,31.0292,0.3443,0.2571,0.0664,50.0,15867.6833,1.6455
train,inline,3,768,50,11186.2458,49.9798,32.3981,31.4562,0.0667,0.0665,0.6661,50.0,9846.3132,4312.1595
train,inline,4,384,45,10591.6488,44.9954,23.7059,51.5289,3.5788,2.7078,0.7306,50.0,9349.6437,0.0
